Optimization Algorithm: Improved NSGA-III
Total Time: 138.20 seconds

=== Final Pareto Front ===
ID	Rate_AB (bps)	Rate_BA (bps)	Energy (J)
0	2.8381e+08	2.4745e+08	9.4470e+03
1	2.8008e+08	2.6222e+08	9.4472e+03
2	2.8013e+08	2.6214e+08	9.4472e+03
3	2.8069e+08	2.6120e+08	9.4472e+03
4	2.8123e+08	2.5995e+08	9.4472e+03
5	2.8126e+08	2.5988e+08	9.4472e+03
6	2.8126e+08	2.5986e+08	9.4472e+03
7	2.8140e+08	2.5949e+08	9.4472e+03
8	2.8140e+08	2.5949e+08	9.4472e+03
9	2.8333e+08	2.5539e+08	9.4476e+03
10	2.8415e+08	2.4504e+08	9.4477e+03
11	2.8571e+08	2.4237e+08	9.4477e+03
12	2.8571e+08	2.4237e+08	9.4477e+03
13	2.8571e+08	2.4237e+08	9.4477e+03
14	2.8555e+08	2.4107e+08	9.4479e+03
15	2.8552e+08	2.4174e+08	9.4486e+03
16	2.8552e+08	2.4171e+08	9.4486e+03
17	2.8552e+08	2.4171e+08	9.4486e+03
18	2.8552e+08	2.4171e+08	9.4486e+03
19	2.8552e+08	2.4171e+08	9.4486e+03
20	2.8551e+08	2.4165e+08	9.4486e+03
21	2.8551e+08	2.4165e+08	9.4486e+03
22	2.8551e+08	2.4163e+08	9.4486e+03
23	2.8551e+08	2.4162e+08	9.4486e+03
24	2.8551e+08	2.4162e+08	9.4486e+03
25	2.8548e+08	2.4125e+08	9.4486e+03
26	2.8548e+08	2.4125e+08	9.4486e+03
27	2.8548e+08	2.4125e+08	9.4486e+03
28	2.8547e+08	2.4114e+08	9.4486e+03
29	2.8547e+08	2.4114e+08	9.4486e+03
30	2.8547e+08	2.4105e+08	9.4486e+03
31	2.8547e+08	2.4103e+08	9.4486e+03
32	2.8547e+08	2.4103e+08	9.4486e+03
33	2.8547e+08	2.4103e+08	9.4486e+03
34	2.8546e+08	2.4093e+08	9.4486e+03
35	2.8546e+08	2.4093e+08	9.4486e+03
36	2.8546e+08	2.4086e+08	9.4486e+03
37	2.8545e+08	2.4082e+08	9.4486e+03
38	2.8538e+08	2.4029e+08	9.4493e+03
39	2.8538e+08	2.4029e+08	9.4493e+03
40	2.8534e+08	2.4000e+08	9.4500e+03
41	2.8534e+08	2.4000e+08	9.4500e+03
42	2.8531e+08	2.3917e+08	9.4500e+03
43	2.8530e+08	2.3905e+08	9.4500e+03
44	2.8530e+08	2.3905e+08	9.4500e+03
45	2.8528e+08	2.3883e+08	9.4508e+03
46	2.8525e+08	2.3873e+08	9.4523e+03
47	2.8519e+08	2.3696e+08	9.4523e+03
48	2.8518e+08	2.3652e+08	9.4523e+03
49	2.8518e+08	2.3652e+08	9.4523e+03
50	-0.0000e+00	-0.0000e+00	1.0000e+18
51	-0.0000e+00	-0.0000e+00	1.0000e+18
52	-0.0000e+00	-0.0000e+00	1.0000e+18
53	-0.0000e+00	-0.0000e+00	1.0000e+18
54	-0.0000e+00	-0.0000e+00	1.0000e+18
55	-0.0000e+00	-0.0000e+00	1.0000e+18
56	-0.0000e+00	-0.0000e+00	1.0000e+18
57	-0.0000e+00	-0.0000e+00	1.0000e+18
58	-0.0000e+00	-0.0000e+00	1.0000e+18
59	-0.0000e+00	-0.0000e+00	1.0000e+18
60	-0.0000e+00	-0.0000e+00	1.0000e+18
61	-0.0000e+00	-0.0000e+00	1.0000e+18
62	-0.0000e+00	-0.0000e+00	1.0000e+18
63	-0.0000e+00	-0.0000e+00	1.0000e+18
64	-0.0000e+00	-0.0000e+00	1.0000e+18
65	-0.0000e+00	-0.0000e+00	1.0000e+18
66	-0.0000e+00	-0.0000e+00	1.0000e+18
67	-0.0000e+00	-0.0000e+00	1.0000e+18
68	-0.0000e+00	-0.0000e+00	1.0000e+18
69	-0.0000e+00	-0.0000e+00	1.0000e+18
70	-0.0000e+00	-0.0000e+00	1.0000e+18
71	-0.0000e+00	-0.0000e+00	1.0000e+18
72	-0.0000e+00	-0.0000e+00	1.0000e+18
73	-0.0000e+00	-0.0000e+00	1.0000e+18
74	-0.0000e+00	-0.0000e+00	1.0000e+18
75	-0.0000e+00	-0.0000e+00	1.0000e+18
76	-0.0000e+00	-0.0000e+00	1.0000e+18
77	-0.0000e+00	-0.0000e+00	1.0000e+18
78	-0.0000e+00	-0.0000e+00	1.0000e+18
79	-0.0000e+00	-0.0000e+00	1.0000e+18
80	-0.0000e+00	-0.0000e+00	1.0000e+18
81	-0.0000e+00	-0.0000e+00	1.0000e+18
82	-0.0000e+00	-0.0000e+00	1.0000e+18
83	-0.0000e+00	-0.0000e+00	1.0000e+18
84	-0.0000e+00	-0.0000e+00	1.0000e+18
85	-0.0000e+00	-0.0000e+00	1.0000e+18
86	-0.0000e+00	-0.0000e+00	1.0000e+18
87	-0.0000e+00	-0.0000e+00	1.0000e+18
88	-0.0000e+00	-0.0000e+00	1.0000e+18
89	-0.0000e+00	-0.0000e+00	1.0000e+18
90	-0.0000e+00	-0.0000e+00	1.0000e+18
91	-0.0000e+00	-0.0000e+00	1.0000e+18
92	-0.0000e+00	-0.0000e+00	1.0000e+18
93	-0.0000e+00	-0.0000e+00	1.0000e+18
94	-0.0000e+00	-0.0000e+00	1.0000e+18
95	-0.0000e+00	-0.0000e+00	1.0000e+18
96	-0.0000e+00	-0.0000e+00	1.0000e+18
97	-0.0000e+00	-0.0000e+00	1.0000e+18
98	-0.0000e+00	-0.0000e+00	1.0000e+18
99	-0.0000e+00	-0.0000e+00	1.0000e+18
