优化算法: 改进NSGA-III
种群大小: 100, 最大代数: 200
交叉概率: 0.9, 变异概率: 0.1, ALO概率: 0.3
使用OBL初始化: 是

=== 优化日志 ===
代数 0: {'gen': 0, 'evals': 100, 'avg': array([-2.25202618e+08, -2.27912847e+08,  1.07120531e+04]), 'std': array([2.29460787e+07, 2.16116643e+07, 1.42421652e+03]), 'min': array([-2.60465114e+08, -2.61877070e+08,  7.05003814e+03]), 'max': array([-1.08701343e+08, -1.31729651e+08,  1.45800862e+04])}
代数 1: {'gen': 1, 'evals': 220, 'avg': array([-2.35721192e+08, -2.36361379e+08,  1.04154498e+04]), 'std': array([1.73887813e+07, 2.30291590e+07, 1.25191127e+03]), 'min': array([-2.71031541e+08, -2.68776412e+08,  7.71046760e+03]), 'max': array([-1.68751453e+08, -1.50497438e+08,  1.44726008e+04])}
代数 2: {'gen': 2, 'evals': 200, 'avg': array([-2.38841232e+08, -2.36890730e+08,  1.00749075e+04]), 'std': array([1.92492175e+07, 2.11250515e+07, 1.09972710e+03]), 'min': array([-2.76927890e+08, -2.71051079e+08,  7.85177643e+03]), 'max': array([-1.80192597e+08, -1.23623858e+08,  1.26967577e+04])}
代数 3: {'gen': 3, 'evals': 200, 'avg': array([-2.42332389e+08, -2.42799102e+08,  9.65704367e+03]), 'std': array([1.86507077e+07, 1.92056767e+07, 8.74917406e+02]), 'min': array([-2.82721506e+08, -2.79773951e+08,  7.71168367e+03]), 'max': array([-1.75573188e+08, -1.56995333e+08,  1.19246611e+04])}
代数 4: {'gen': 4, 'evals': 220, 'avg': array([-2.44230849e+08, -2.44973371e+08,  1.00000000e+16]), 'std': array([3.56514424e+07, 3.15814427e+07, 9.94987437e+16]), 'min': array([-2.85796980e+08, -2.83440318e+08,  8.37191108e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 5: {'gen': 5, 'evals': 200, 'avg': array([-2.47558448e+08, -2.46211368e+08,  9.40891536e+03]), 'std': array([2.09261979e+07, 2.13392058e+07, 5.68641424e+02]), 'min': array([-2.83433821e+08, -2.85204892e+08,  8.78059266e+03]), 'max': array([-1.88802295e+08, -1.74690688e+08,  1.16568110e+04])}
代数 6: {'gen': 6, 'evals': 200, 'avg': array([-2.48374999e+08, -2.48117405e+08,  9.27249234e+03]), 'std': array([2.28456866e+07, 1.95856996e+07, 3.81356427e+02]), 'min': array([-2.78228223e+08, -2.82233886e+08,  8.87949618e+03]), 'max': array([-1.51734344e+08, -1.66515562e+08,  1.04631286e+04])}
代数 7: {'gen': 7, 'evals': 220, 'avg': array([-2.49963670e+08, -2.52313802e+08,  1.00000000e+16]), 'std': array([3.12826257e+07, 3.10313872e+07, 9.94987437e+16]), 'min': array([-2.79815490e+08, -2.79469226e+08,  8.90973383e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 8: {'gen': 8, 'evals': 220, 'avg': array([-2.43775386e+08, -2.44244185e+08,  4.00000000e+16]), 'std': array([5.30527820e+07, 5.40888339e+07, 1.95959179e+17]), 'min': array([-2.83198417e+08, -2.82532176e+08,  8.96717992e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 9: {'gen': 9, 'evals': 220, 'avg': array([-2.40379993e+08, -2.32881108e+08,  7.00000000e+16]), 'std': array([6.80821433e+07, 6.72323315e+07, 2.55147016e+17]), 'min': array([-2.83172674e+08, -2.82377307e+08,  9.00252995e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 10: {'gen': 10, 'evals': 220, 'avg': array([-2.17257237e+08, -2.09666772e+08,  1.50000000e+17]), 'std': array([9.29278575e+07, 9.05408505e+07, 3.57071421e+17]), 'min': array([-2.78829380e+08, -2.83458578e+08,  8.96517407e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
