============================================================
A2ACMOP优化算法对比测试
开始时间: 2025-04-06 03:47:32
============================================================
检测到两种算法的结果已存在。
是否要重新运行优化算法？(y/n): 
=== 执行原始NSGA-III算法 ===

开始执行原始算法...
Configuration loaded.
算法改进配置已加载。
生成无人机初始位置...
使用 3 个CPU核心进行并行计算...
初始化种群 (大小: 100)...
应用初始 NSGA-III 选择 (因使用 OBL)...
gen	evals	std                                           	min                                              	avg                                              	max                                              
0  	100  	[2.29460787e+07 2.16116643e+07 1.42421652e+03]	[-2.60465114e+08 -2.61877070e+08  7.05003814e+03]	[-2.25202618e+08 -2.27912847e+08  1.07120531e+04]	[-1.08701343e+08 -1.31729651e+08  1.45800862e+04]
初始位置尚未设置，无法绘制初始部署图
开始进化...
警告: BH算子 - 使用当前位置作为A组初始位置
警告: BH算子 - 使用当前位置作为B组初始位置
1  	200  	[1.91657905e+07 1.63014400e+07 1.20355491e+03]	[-2.69748505e+08 -2.66775853e+08  6.85340607e+03]	[-2.36737839e+08 -2.39327158e+08  1.02039928e+04]	[-1.56340793e+08 -1.72296896e+08  1.38977198e+04]
2  	200  	[2.04101738e+07 1.61009936e+07 9.87974277e+02]	[-2.81591466e+08 -2.64960731e+08  6.68830592e+03]	[-2.37885817e+08 -2.40374708e+08  9.82786251e+03]	[-1.78510797e+08 -1.72789070e+08  1.22111521e+04]
3  	200  	[1.21993380e+07 1.55228098e+07 9.02881990e+02]	[-2.76386120e+08 -2.65370226e+08  6.66988751e+03]	[-2.45655432e+08 -2.40932602e+08  9.56947170e+03]	[-2.04140296e+08 -1.70619514e+08  1.21923794e+04]
4  	200  	[1.78434810e+07 1.89981333e+07 7.23200394e+02]	[-2.79128919e+08 -2.70255367e+08  8.45614693e+03]	[-2.41797118e+08 -2.40126041e+08  9.51536511e+03]	[-1.60967699e+08 -1.74296379e+08  1.20796682e+04]
5  	200  	[3.15005227e+07 2.97477306e+07 9.94987437e+16]	[-2.73392856e+08 -2.67208337e+08  8.44900697e+03]	[-2.40936321e+08 -2.41946606e+08  1.00000000e+16]	[0.e+00 0.e+00 1.e+18]                           
6  	200  	[5.62932084e+07 5.57745121e+07 2.17944947e+17]	[-2.77596494e+08 -2.70304968e+08  8.44153350e+03]	[-2.32465218e+08 -2.33470025e+08  5.00000000e+16]	[0.e+00 0.e+00 1.e+18]                           
7  	200  	[6.48676782e+07 6.53314799e+07 2.55147016e+17]	[-2.72484743e+08 -2.72675819e+08  8.59352841e+03]	[-2.26035020e+08 -2.23710883e+08  7.00000000e+16]	[0.e+00 0.e+00 1.e+18]                           
8  	200  	[7.51983131e+07 7.64886217e+07 3.00000000e+17]	[-2.77364640e+08 -2.77027135e+08  8.41857818e+03]	[-2.18416781e+08 -2.20217755e+08  1.00000000e+17]	[0.e+00 0.e+00 1.e+18]                           
9  	200  	[5.15519652e+07 5.15114956e+07 1.95959179e+17]	[-2.73464004e+08 -2.73507787e+08  8.40783296e+03]	[-2.33363635e+08 -2.35304948e+08  4.00000000e+16]	[0.e+00 0.e+00 1.e+18]                           
10 	200  	[5.14821414e+07 5.12023343e+07 1.95959179e+17]	[-2.71540659e+08 -2.71925337e+08  8.33854839e+03]	[-2.33561912e+08 -2.36528752e+08  4.00000000e+16]	[0.e+00 0.e+00 1.e+18]                           
11 	200  	[1.60540663e+07 2.13902247e+07 3.61547238e+02]	[-2.75070053e+08 -2.74610617e+08  8.31163386e+03]	[-2.47033814e+08 -2.44122141e+08  8.80646490e+03]	[-1.84936595e+08 -1.57756243e+08  9.52454727e+03]
12 	200  	[2.95194990e+07 2.95669269e+07 9.94987437e+16]	[-2.72717174e+08 -2.74521600e+08  8.28117491e+03]	[-2.42868419e+08 -2.43578331e+08  1.00000000e+16]	[0.e+00 0.e+00 1.e+18]                           
13 	200  	[6.13442632e+07 6.13907518e+07 2.37486842e+17]	[-2.71996798e+08 -2.72871214e+08  8.26376917e+03]	[-2.27744074e+08 -2.30472654e+08  6.00000000e+16]	[0.e+00 0.e+00 1.e+18]                           
14 	200  	[8.21906184e+07 8.18960910e+07 3.24961536e+17]	[-2.69747848e+08 -2.72460766e+08  8.26078244e+03]	[-2.15142043e+08 -2.16517627e+08  1.20000000e+17]	[0.e+00 0.e+00 1.e+18]                           
15 	200  	[1.12804346e+08 1.13117142e+08 4.53762052e+17]	[-2.71805015e+08 -2.72955677e+08  8.23756462e+03]	[-1.74808273e+08 -1.75587715e+08  2.90000000e+17]	[0.e+00 0.e+00 1.e+18]                           
16 	200  	[1.17504891e+08 1.17650482e+08 4.66476152e+17]	[-2.72803862e+08 -2.75010665e+08  8.23188733e+03]	[-8.04322333e+07 -8.04035238e+07  6.80000000e+17]	[0.e+00 0.e+00 1.e+18]                           
17 	200  	[1.06703682e+08 1.11058366e+08 4.38634244e+17]	[-2.65349750e+08 -2.72883547e+08  8.23789090e+03]	[-6.30968084e+07 -6.56807138e+07  7.40000000e+17]	[0.e+00 0.e+00 1.e+18]                           
18 	200  	[1.08123836e+08 1.08997242e+08 4.38634244e+17]	[-2.64516688e+08 -2.72194230e+08  8.23196342e+03]	[-6.39454502e+07 -6.44353766e+07  7.40000000e+17]	[0.e+00 0.e+00 1.e+18]                           
19 	200  	[1.01137860e+08 1.02891441e+08 4.07308237e+17]	[-2.70374344e+08 -2.67513096e+08  8.30694164e+03]	[-5.19553514e+07 -5.29994814e+07  7.90000000e+17]	[0.e+00 0.e+00 1.e+18]                           
20 	200  	[8.99673500e+07 9.08658492e+07 3.66606056e+17]	[-2.71444964e+08 -2.69324687e+08  8.81058495e+03]	[-3.91249894e+07 -3.95817790e+07  8.40000000e+17]	[0.e+00 0.e+00 1.e+18]                           
21 	200  	[8.94176341e+07 8.94782900e+07 3.57071421e+17]	[-2.67402900e+08 -2.70558234e+08  8.94714400e+03]	[-3.75029543e+07 -3.75272452e+07  8.50000000e+17]	[0.e+00 0.e+00 1.e+18]                           
22 	200  	[7.58850528e+07 7.94164440e+07 3.12889757e+17]	[-2.67253464e+08 -2.69499232e+08  9.00793801e+03]	[-2.66374535e+07 -2.78894475e+07  8.90000000e+17]	[0.e+00 0.e+00 1.e+18]                           
23 	200  	[8.69804577e+07 8.25983604e+07 3.46987031e+17]	[-2.67552828e+08 -2.68897136e+08  9.00289667e+03]	[-3.50346529e+07 -3.31845955e+07  8.60000000e+17]	[0.e+00 0.e+00 1.e+18]                           
24 	200  	[9.24880400e+07 9.01941278e+07 3.66606056e+17]	[-2.68929588e+08 -2.65510351e+08  9.00782071e+03]	[-4.02889536e+07 -3.92933733e+07  8.40000000e+17]	[0.e+00 0.e+00 1.e+18]                           
25 	200  	[9.03145918e+07 9.15049352e+07 3.66606056e+17]	[-2.68793297e+08 -2.72280097e+08  8.28442818e+03]	[-3.93554315e+07 -3.99013209e+07  8.40000000e+17]	[0.e+00 0.e+00 1.e+18]                           
26 	200  	[9.74080822e+07 9.91707535e+07 4.00000000e+17]	[-2.71681398e+08 -2.70592460e+08  8.33734352e+03]	[-4.85399118e+07 -4.94683480e+07  8.00000000e+17]	[0.e+00 0.e+00 1.e+18]                           
27 	200  	[1.08143796e+08 1.08311890e+08 4.43959458e+17]	[-2.70390287e+08 -2.70735006e+08  8.98686459e+03]	[-6.55519383e+07 -6.56896101e+07  7.30000000e+17]	[0.e+00 0.e+00 1.e+18]                           
28 	200  	[9.02090788e+07 8.79678590e+07 3.57071421e+17]	[-2.73828532e+08 -2.69910443e+08  8.98667134e+03]	[-3.78184353e+07 -3.68924198e+07  8.50000000e+17]	[0.e+00 0.e+00 1.e+18]                           
29 	200  	[9.36003107e+07 9.25261300e+07 3.84187454e+17]	[-2.62155700e+08 -2.63655469e+08  9.02977673e+03]	[-4.37617719e+07 -4.32806936e+07  8.20000000e+17]	[0.e+00 0.e+00 1.e+18]                           
30 	200  	[8.63159840e+07 8.40307392e+07 3.46987031e+17]	[-2.66866395e+08 -2.64273105e+08  9.11546738e+03]	[-3.47643424e+07 -3.37812473e+07  8.60000000e+17]	[0.e+00 0.e+00 1.e+18]                           
31 	200  	[8.33844568e+07 7.90951610e+07 3.24961536e+17]	[-2.73659537e+08 -2.61594221e+08  9.15668579e+03]	[-3.07596756e+07 -2.91378193e+07  8.80000000e+17]	[0.e+00 0.e+00 1.e+18]                           
