Optimization Algorithm: Original NSGA-III
Total Time: 111.05 seconds

=== Final Pareto Front ===
ID	Rate_AB (bps)	Rate_BA (bps)	Energy (J)
0	2.3877e+08	2.7296e+08	9.3971e+03
1	2.3876e+08	2.7335e+08	9.3972e+03
2	2.7462e+08	2.4381e+08	9.4369e+03
3	2.7462e+08	2.4390e+08	9.4369e+03
4	2.7462e+08	2.4390e+08	9.4369e+03
5	2.7462e+08	2.4390e+08	9.4369e+03
6	2.7458e+08	2.4467e+08	9.4370e+03
7	2.7462e+08	2.4388e+08	9.4390e+03
8	2.7456e+08	2.4484e+08	9.4391e+03
9	2.7456e+08	2.4484e+08	9.4391e+03
10	2.7439e+08	2.4608e+08	9.4393e+03
11	2.7439e+08	2.4608e+08	9.4393e+03
12	2.7435e+08	2.4630e+08	9.4393e+03
13	2.7407e+08	2.4728e+08	9.4404e+03
14	2.7407e+08	2.4728e+08	9.4404e+03
15	2.7406e+08	2.4733e+08	9.4404e+03
16	2.7406e+08	2.4733e+08	9.4404e+03
17	2.7419e+08	2.4683e+08	9.4414e+03
18	2.7419e+08	2.4683e+08	9.4414e+03
19	2.7402e+08	2.4737e+08	9.4415e+03
20	2.7380e+08	2.4793e+08	9.4415e+03
21	2.7380e+08	2.4793e+08	9.4415e+03
22	2.6497e+08	2.3339e+08	9.4443e+03
23	2.6499e+08	2.3335e+08	9.4443e+03
24	2.6499e+08	2.3335e+08	9.4443e+03
25	2.6499e+08	2.3335e+08	9.4443e+03
26	2.6510e+08	2.3316e+08	9.4443e+03
27	2.6510e+08	2.3316e+08	9.4443e+03
28	2.6545e+08	2.3252e+08	9.4444e+03
29	2.6536e+08	2.3268e+08	9.4444e+03
30	2.6536e+08	2.3268e+08	9.4444e+03
31	2.6557e+08	2.3248e+08	9.4455e+03
32	2.6623e+08	2.3140e+08	9.4456e+03
33	2.6623e+08	2.3140e+08	9.4456e+03
34	2.6623e+08	2.3140e+08	9.4456e+03
35	2.6602e+08	2.3175e+08	9.4456e+03
36	2.6602e+08	2.3175e+08	9.4456e+03
37	2.6484e+08	2.3396e+08	9.4464e+03
38	2.5948e+08	2.4299e+08	9.4465e+03
39	2.5948e+08	2.4299e+08	9.4465e+03
40	2.5948e+08	2.4299e+08	9.4465e+03
41	2.6027e+08	2.4205e+08	9.4487e+03
42	2.6027e+08	2.4205e+08	9.4487e+03
43	2.6027e+08	2.4205e+08	9.4487e+03
44	2.6058e+08	2.4162e+08	9.4487e+03
45	2.6058e+08	2.4162e+08	9.4487e+03
46	2.6086e+08	2.4120e+08	9.4487e+03
47	2.6086e+08	2.4120e+08	9.4487e+03
48	2.6086e+08	2.4120e+08	9.4487e+03
49	2.6086e+08	2.4120e+08	9.4487e+03
50	2.6213e+08	2.3484e+08	9.4494e+03
51	2.5883e+08	2.4383e+08	9.4494e+03
52	2.5883e+08	2.4383e+08	9.4494e+03
53	2.5568e+08	2.4555e+08	9.4499e+03
54	2.5568e+08	2.4555e+08	9.4499e+03
55	2.5606e+08	2.4551e+08	9.4500e+03
56	2.5634e+08	2.4545e+08	9.4500e+03
57	2.5651e+08	2.4540e+08	9.4501e+03
58	2.5702e+08	2.4520e+08	9.4501e+03
59	2.5729e+08	2.4505e+08	9.4502e+03
60	2.6041e+08	2.3005e+08	9.4506e+03
61	2.6021e+08	2.2951e+08	9.4506e+03
62	2.6009e+08	2.2918e+08	9.4507e+03
63	2.5884e+08	2.2621e+08	9.4508e+03
64	2.5846e+08	2.2550e+08	9.4509e+03
65	2.5810e+08	2.2495e+08	9.4509e+03
66	2.5772e+08	2.2451e+08	9.4510e+03
67	2.5734e+08	2.2419e+08	9.4510e+03
68	2.5734e+08	2.2419e+08	9.4510e+03
69	2.5727e+08	2.2415e+08	9.4510e+03
70	2.5680e+08	2.2400e+08	9.4511e+03
71	2.5680e+08	2.2400e+08	9.4511e+03
72	2.5654e+08	2.2402e+08	9.4511e+03
73	2.5648e+08	2.2403e+08	9.4511e+03
74	2.5631e+08	2.2408e+08	9.4511e+03
75	2.5631e+08	2.2408e+08	9.4511e+03
76	2.5575e+08	2.2444e+08	9.4512e+03
77	2.5377e+08	2.2735e+08	9.4514e+03
78	2.5136e+08	2.3223e+08	9.4517e+03
79	-0.0000e+00	-0.0000e+00	1.0000e+18
80	-0.0000e+00	-0.0000e+00	1.0000e+18
81	-0.0000e+00	-0.0000e+00	1.0000e+18
82	-0.0000e+00	-0.0000e+00	1.0000e+18
83	-0.0000e+00	-0.0000e+00	1.0000e+18
84	-0.0000e+00	-0.0000e+00	1.0000e+18
85	-0.0000e+00	-0.0000e+00	1.0000e+18
86	-0.0000e+00	-0.0000e+00	1.0000e+18
87	-0.0000e+00	-0.0000e+00	1.0000e+18
88	-0.0000e+00	-0.0000e+00	1.0000e+18
89	-0.0000e+00	-0.0000e+00	1.0000e+18
90	-0.0000e+00	-0.0000e+00	1.0000e+18
91	-0.0000e+00	-0.0000e+00	1.0000e+18
92	-0.0000e+00	-0.0000e+00	1.0000e+18
93	-0.0000e+00	-0.0000e+00	1.0000e+18
94	-0.0000e+00	-0.0000e+00	1.0000e+18
95	-0.0000e+00	-0.0000e+00	1.0000e+18
96	-0.0000e+00	-0.0000e+00	1.0000e+18
97	-0.0000e+00	-0.0000e+00	1.0000e+18
98	-0.0000e+00	-0.0000e+00	1.0000e+18
99	-0.0000e+00	-0.0000e+00	1.0000e+18
