Optimization Algorithm: Original NSGA-III
Population Size: 100, Maximum Generations: 200
Crossover Probability: 0.9, Mutation Probability: 0.1, ALO Probability: 0.3
Using OBL Initialization: Yes

=== Optimization Log ===
Generation 0: {'gen': 0, 'evals': 100, 'avg': array([-2.25202618e+08, -2.27912847e+08,  1.07120531e+04]), 'std': array([2.29460787e+07, 2.16116643e+07, 1.42421652e+03]), 'min': array([-2.60465114e+08, -2.61877070e+08,  7.05003814e+03]), 'max': array([-1.08701343e+08, -1.31729651e+08,  1.45800862e+04])}
Generation 1: {'gen': 1, 'evals': 200, 'avg': array([-2.36737839e+08, -2.39327158e+08,  1.02039928e+04]), 'std': array([1.91657905e+07, 1.63014400e+07, 1.20355491e+03]), 'min': array([-2.69748505e+08, -2.66775853e+08,  6.85340607e+03]), 'max': array([-1.56340793e+08, -1.72296896e+08,  1.38977198e+04])}
Generation 2: {'gen': 2, 'evals': 200, 'avg': array([-2.37885817e+08, -2.40374708e+08,  9.82786251e+03]), 'std': array([2.04101738e+07, 1.61009936e+07, 9.87974277e+02]), 'min': array([-2.81591466e+08, -2.64960731e+08,  6.68830592e+03]), 'max': array([-1.78510797e+08, -1.72789070e+08,  1.22111521e+04])}
Generation 3: {'gen': 3, 'evals': 200, 'avg': array([-2.45655432e+08, -2.40932602e+08,  9.56947170e+03]), 'std': array([1.21993380e+07, 1.55228098e+07, 9.02881990e+02]), 'min': array([-2.76386120e+08, -2.65370226e+08,  6.66988751e+03]), 'max': array([-2.04140296e+08, -1.70619514e+08,  1.21923794e+04])}
Generation 4: {'gen': 4, 'evals': 200, 'avg': array([-2.41797118e+08, -2.40126041e+08,  9.51536511e+03]), 'std': array([1.78434810e+07, 1.89981333e+07, 7.23200394e+02]), 'min': array([-2.79128919e+08, -2.70255367e+08,  8.45614693e+03]), 'max': array([-1.60967699e+08, -1.74296379e+08,  1.20796682e+04])}
Generation 5: {'gen': 5, 'evals': 200, 'avg': array([-2.40936321e+08, -2.41946606e+08,  1.00000000e+16]), 'std': array([3.15005227e+07, 2.97477306e+07, 9.94987437e+16]), 'min': array([-2.73392856e+08, -2.67208337e+08,  8.44900697e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 6: {'gen': 6, 'evals': 200, 'avg': array([-2.32465218e+08, -2.33470025e+08,  5.00000000e+16]), 'std': array([5.62932084e+07, 5.57745121e+07, 2.17944947e+17]), 'min': array([-2.77596494e+08, -2.70304968e+08,  8.44153350e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 7: {'gen': 7, 'evals': 200, 'avg': array([-2.26035020e+08, -2.23710883e+08,  7.00000000e+16]), 'std': array([6.48676782e+07, 6.53314799e+07, 2.55147016e+17]), 'min': array([-2.72484743e+08, -2.72675819e+08,  8.59352841e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 8: {'gen': 8, 'evals': 200, 'avg': array([-2.18416781e+08, -2.20217755e+08,  1.00000000e+17]), 'std': array([7.51983131e+07, 7.64886217e+07, 3.00000000e+17]), 'min': array([-2.77364640e+08, -2.77027135e+08,  8.41857818e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 9: {'gen': 9, 'evals': 200, 'avg': array([-2.33363635e+08, -2.35304948e+08,  4.00000000e+16]), 'std': array([5.15519652e+07, 5.15114956e+07, 1.95959179e+17]), 'min': array([-2.73464004e+08, -2.73507787e+08,  8.40783296e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 10: {'gen': 10, 'evals': 200, 'avg': array([-2.33561912e+08, -2.36528752e+08,  4.00000000e+16]), 'std': array([5.14821414e+07, 5.12023343e+07, 1.95959179e+17]), 'min': array([-2.71540659e+08, -2.71925337e+08,  8.33854839e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
